iter	Passed	Remaining
212	22575	507374
213	22685	507339
214	22794	507308
215	22907	507360
216	23019	507391
217	23131	507409
218	23233	507202
219	23345	507223
220	23447	507046
221	23557	507009
222	23672	507108
223	23789	507228
224	23918	507609
225	24033	507670
226	24146	507705
227	24246	507473
228	24353	507389
229	24464	507381
230	24574	507331
231	24676	507138
232	24783	507042
233	24894	507032
234	24985	506629
235	25092	506519
236	25203	506524
237	25309	506408
238	25421	506404
239	25529	506344
240	25636	506234
241	25740	506079
242	25847	505990
243	25955	505919
244	26060	505784
245	26168	505716
246	26277	505648
247	26391	505693
248	26498	505600
249	26610	505604
250	26724	505644
251	26833	505571
252	26944	505554
253	27052	505475
254	27160	505389
255	27266	505281
256	27368	505098
257	27468	504871
258	27569	504662
259	27673	504511
260	27783	504458
261	27886	504302
262	27997	504273
263	28107	504237
264	28220	504239
265	28328	504168
266	28446	504265
267	28551	504123
268	28656	503987
269	28764	503918
270	28873	503850
271	28997	504052
272	29110	504047
273	29229	504163
274	29338	504083
275	29449	504055
276	29547	503795
277	29656	503733
278	29765	503669
279	29880	503700
280	29993	503704
281	30091	503440
282	30197	503327
283	30299	503138
284	30411	503119
285	30531	503232
286	30641	503181
287	30752	503146
288	30869	503199
289	30987	503272
290	31104	503329
291	31220	503376
292	31327	503265
293	31426	503044
294	31534	502950
295	31646	502927
296	31752	502809
297	31864	502781
298	31972	502689
299	32083	502645
300	32186	502467
301	32299	502463
302	32411	502426
303	32527	502458
304	32639	502434
305	32750	502385
306	32864	502382
307	32973	502305
308	33080	502208
309	33191	502160
310	33293	501968
311	33399	501851
312	33504	501717
313	33608	501560
314	33718	501494
315	33831	501475
316	33930	501249
317	34035	501109
318	34141	500985
319	34243	500812
320	34367	500951
321	34470	500789
322	34586	500811
323	34702	500828
324	34812	500762
325	34925	500738
326	35034	500665
327	35146	500629
328	35266	500695
329	35382	500718
330	35495	500683
331	35605	500623
332	35719	500609
333	35827	500507
334	35931	500354
335	36037	500239
336	36145	500136
337	36252	500033
338	36356	499876
339	36454	499645
340	36557	499477
341	36667	499413
342	36775	499306
343	36879	499162
344	36990	499099
345	37108	499142
346	37224	499149
347	37347	499250
348	37451	499104
349	37552	498909
350	37660	498813
351	37769	498726
352	37883	498711
353	37985	498534
354	38088	498373
355	38185	498121
356	38292	498020
357	38410	498049
358	38527	498064
359	38676	498492
360	38791	498484
361	38895	498338
362	39003	498233
363	39114	498167
364	39224	498101
365	39332	497992
366	39453	498059
367	39564	497996
368	39676	497945
369	39796	497994
370	39912	497986
371	40030	498016
372	40148	498031
373	40264	498028
374	40380	498023
375	40499	498057
376	40612	498019
377	40737	498115
378	40843	497983
379	40961	498000
380	41080	498033
381	41193	497983
382	41300	497874
383	41415	497849
384	41523	497745
385	41636	497693
386	41758	497752
387	41864	497621
388	41986	497684
389	42103	497683
390	42215	497623
391	42333	497628
392	42450	497634
393	42563	497587
394	42670	497459
395	42779	497360
396	42880	497181
397	43008	497296
398	43115	497181
399	43223	497069
400	43336	497022
401	43447	496942
402	43568	496986
403	43716	497324
404	43885	497916
405	44012	498016
406	44139	498112
407	44252	498062
408	44370	498054
409	44479	497952
410	44593	497911
411	44707	497861
412	44823	497836
413	44953	497963
414	45073	497977
415	45188	497940
416	45295	497819
417	45402	497687
418	45514	497619
419	45619	497465
420	45718	497254
421	45827	497157
422	45928	496964
423	46029	496770
424	46130	496580
425	46240	496490
426	46347	496358
427	46452	496214
428	46556	496057
429	46654	495837
430	46757	495671
431	46857	495476
432	46964	495348
433	47065	495161
434	47172	495035
435	47275	494877
436	47384	494768
437	47482	494560
438	47582	494356
439	47681	494157
440	47786	494006
441	47884	493797
442	47988	493641
443	48086	493431
444	48196	493337
445	48307	493252
446	48415	493144
447	48520	493001
448	48627	492886
449	48732	492744
450	48835	492578
451	48939	492424
452	48999	491837
453	49107	491721
454	49213	491596
455	49317	491443
456	49428	491367
457	49535	491245
458	49641	491112
459	49753	491046
460	49855	490876
461	49964	490781
462	50078	490724
463	50172	490480
464	50282	490391
465	50385	490229
466	50493	490125
467	50602	490020
468	50709	489907
469	50813	489750
470	50915	489587
471	51016	489412
472	51119	489259
473	51224	489114
474	51330	488991
475	51439	488895
476	51551	488817
477	51656	488686
478	51758	488519
479	51870	488442
480	51978	488338
481	52083	488203
482	52192	488105
483	52301	488004
484	52402	487833
485	52507	487691
486	52617	487605
487	52723	487472
488	52831	487371
489	52942	487286
490	53052	487193
491	53163	487116
492	53261	486915
493	53368	486801
494	53473	486664
495	53576	486506
496	53682	486385
497	53791	486282
498	53905	486228
499	54010	486095
500	54121	486015
501	54228	485894
502	54338	485808
503	54441	485653
504	54552	485567
505	54660	485458
506	54766	485334
507	54869	485188
508	54982	485118
509	55090	485008
510	55199	484916
511	55308	484812
512	55409	484639
513	55510	484474
514	55617	484354
515	55728	484279
516	55828	484102
517	55936	483995
518	56052	483955
519	56156	483807
520	56248	483568
521	56351	483415
522	56451	483239
523	56558	483122
524	56658	482944
525	56749	482698
526	56860	482612
527	56967	482501
528	57074	482384
529	57178	482241
530	57288	482150
531	57395	482036
532	57503	481930
533	57614	481844
534	57720	481723
535	57828	481616
536	57941	481551
537	58054	481487
538	58161	481372
539	58266	481242
540	58372	481112
541	58465	480886
542	58574	480789
543	58682	480679
544	58785	480531
545	58888	480381
546	58992	480244
547	59103	480159
548	59210	480050
549	59322	479975
550	59429	479860
551	59539	479764
552	59642	479618
553	59747	479486
554	59846	479309
555	59961	479257
556	60065	479123
557	60174	479023
558	60287	478956
559	60395	478853
560	60500	478716
561	60605	478588
562	60715	478496
563	60821	478377
564	60924	478230
565	61026	478073
566	61142	478031
567	61252	477945
568	61354	477791
569	61452	477605
570	61562	477511
571	61667	477386
572	61801	477479
573	61909	477368
574	62015	477248
575	62120	477120
576	62225	476986
577	62331	476869
578	62434	476722
579	62543	476627
580	62649	476506
581	62753	476367
582	62851	476183
583	62960	476083
584	63052	475860
585	63162	475766
586	63268	475647
587	63375	475532
588	63477	475378
589	63576	475205
590	63684	475099
591	63783	474926
592	63885	474780
593	63994	474679
594	64105	474594
595	64212	474479
596	64308	474289
597	64411	474147
598	64521	474053
599	64681	474332
600	64794	474259
601	64911	474220
602	65022	474138
603	65132	474043
604	65283	474250
605	65398	474192
606	65506	474085
607	65615	473986
608	65723	473876
609	65836	473805
610	65945	473707
611	66053	473597
612	66159	473474
613	66265	473356
614	66375	473262
615	66476	473107
616	66581	472976
617	66688	472859
618	66796	472756
619	66905	472656
620	67012	472542
621	67115	472396
622	67222	472281
623	67331	472181
624	67439	472079
625	67546	471960
626	67663	471918
627	67768	471786
628	67876	471678
629	67973	471496
630	68085	471416
631	68191	471295
632	68302	471213
633	68411	471111
634	68514	470969
635	68615	470813
636	68718	470674
637	68817	470507
638	68936	470471
639	69043	470361
640	69152	470258
641	69257	470130
642	69369	470049
643	69480	469967
644	69582	469815
645	69688	469698
646	69792	469559
647	69892	469402
648	69997	469275
649	70099	469126
650	70205	469009
651	70315	468913
652	70429	468847
653	70537	468740
654	70640	468598
655	70746	468481
656	70855	468382
657	70967	468296
658	71075	468193
659	71178	468054
660	71292	467982
661	71400	467879
662	71509	467777
663	71615	467654
664	71724	467555
665	71817	467350
666	71929	467270
667	72030	467121
668	72135	466996
669	72244	466890
670	72351	466779
671	72462	466693
672	72564	466547
673	72669	466420
674	72780	466336
675	72886	466214
676	72991	466088
677	73086	465901
678	73193	465788
679	73300	465672
680	73405	465546
681	73509	465418
682	73618	465318
683	73729	465229
684	73836	465114
685	73941	464993
686	74049	464886
687	74161	464802
688	74269	464694
689	74374	464569
690	74479	464444
691	74577	464274
692	74673	464094
693	74780	463984
694	74875	463796
695	74984	463694
696	75088	463564
697	75194	463450
698	75306	463365
699	75414	463258
700	75520	463142
701	75623	463004
702	75731	462897
703	75837	462783
704	75946	462679
705	76056	462588
706	76166	462491
707	76273	462383
708	76374	462233
709	76475	462083
710	76573	461915
711	76681	461812
712	76783	461671
713	76892	461569
714	76995	461435
715	77094	461275
716	77205	461187
717	77309	461055
718	77415	460940
719	77523	460833
720	77627	460705
721	77735	460601
722	77844	460498
723	77948	460371
724	78057	460267
725	78163	460151
726	78274	460063
727	78375	459917
728	78487	459833
729	78594	459724
730	78704	459632
731	78821	459574
732	78924	459442
733	79037	459363
734	79157	459326
735	79260	459192
736	79364	459063
737	79474	458972
738	79582	458866
739	79690	458761
740	79797	458649
741	79897	458497
742	79995	458331
743	80106	458241
744	80214	458138
745	80324	458044
746	80433	457945
747	80539	457828
748	80643	457696
749	80756	457619
750	80866	457527
751	80974	457421
752	81086	457333
753	81197	457249
754	81304	457138
755	81414	457038
756	81526	456958
757	81634	456853
758	81744	456754
759	81854	456662
760	81951	456496
761	82048	456325
762	82157	456226
763	82267	456131
764	82367	455980
765	82473	455865
766	82577	455735
767	82686	455636
768	82795	455536
769	82902	455423
770	83004	455289
771	83118	455211
772	83218	455064
773	83328	454968
774	83428	454817
775	83537	454719
776	83639	454580
777	83742	454447
778	83847	454324
779	83950	454193
780	84056	454077
781	84164	453971
782	84273	453868
783	84383	453778
784	84483	453627
785	84588	453506
786	84698	453409
787	84797	453257
788	84908	453169
789	85017	453065
790	85122	452947
791	85232	452852
792	85346	452776
793	85453	452669
794	85556	452534
795	85669	452455
796	85770	452313
797	85876	452199
798	85985	452098
799	86100	452026
800	86210	451930
801	86312	451796
802	86418	451681
803	86528	451582
804	86627	451432
805	86735	451325
806	86839	451201
807	86944	451076
808	87044	450932
809	87157	450850
810	87266	450753
811	87369	450620
812	87476	450509
813	87578	450372
814	87686	450268
815	87793	450155
816	87895	450018
817	88003	449917
818	88115	449829
819	88223	449725
820	88333	449628
821	88436	449496
822	88547	449407
823	88648	449267
824	88751	449138
825	88862	449047
826	88970	448939
827	89076	448827
828	89181	448703
829	89285	448577
830	89391	448463
831	89504	448382
832	89612	448275
833	89721	448176
834	89833	448090
835	89942	447991
836	90051	447888
837	90164	447807
838	90273	447708
839	90370	447550
840	90471	447409
841	90584	447327
842	90693	447228
843	90804	447135
844	90904	446993
845	91017	446909
846	91128	446820
847	91233	446701
848	91339	446583
849	91446	446474
850	91548	446340
851	91656	446234
852	91765	446131
853	91871	446017
854	91971	445871
855	92082	445781
856	92194	445695
857	92301	445587
858	92403	445449
859	92508	445333
860	92621	445248
861	92716	445080
862	92819	444954
863	92922	444824
864	93029	444711
865	93141	444628
866	93248	444518
867	93356	444413
868	93456	444266
869	93564	444162
870	93673	444063
871	93781	443955
872	93886	443836
873	93992	443723
874	94099	443613
875	94202	443485
876	94308	443368
877	94418	443271
878	94529	443179
879	94637	443076
880	94736	442925
881	94844	442820
882	94941	442667
883	95048	442557
884	95155	442447
885	95258	442315
886	95359	442182
887	95470	442089
888	95577	441978
889	95687	441882
890	95793	441769
891	95907	441690
892	96016	441588
893	96128	441500
894	96236	441398
895	96344	441290
896	96454	441195
897	96555	441059
898	96663	440951
899	96761	440803
900	96876	440726
901	96985	440629
902	97091	440512
903	97199	440409
904	97304	440290
905	97415	440195
906	97521	440081
907	97627	439970
908	97732	439849
909	97842	439753
910	97943	439616
911	98050	439507
912	98159	439407
913	98266	439298
914	98373	439185
915	98470	439033
916	98582	438945
917	98694	438857
918	98804	438759
919	98908	438637
920	99015	438525
921	99121	438414
922	99229	438306
923	99340	438215
924	99447	438105
925	99546	437963
926	99655	437862
927	99763	437756
928	99864	437618
929	99972	437513
930	100078	437399
931	100185	437289
932	100293	437183
933	100396	437058
934	100496	436917
935	100606	436820
936	100707	436683
937	100812	436567
938	100922	436469
939	101036	436390
940	101146	436295
941	101254	436191
942	101363	436090
943	101475	436000
944	101579	435878
945	101685	435765
946	101796	435673
947	101900	435549
948	102002	435416
949	102110	435312
950	102219	435213
951	102328	435112
952	102436	435007
953	102541	434885
954	102648	434776
955	102757	434677
956	102857	434538
957	102948	434361
958	103061	434277
959	103173	434189
960	103279	434073
961	103395	434005
962	103505	433906
963	103617	433819
964	103738	433767
965	103854	433694
966	103973	433636
967	104090	433566
968	104203	433483
969	104314	433388
970	104421	433279
971	104532	433186
972	104640	433078
973	104744	432958
974	104848	432834
975	104956	432729
976	105055	432587
977	105171	432513
978	105272	432380
979	105379	432271
980	105481	432141
981	105586	432023
982	105696	431927
983	105799	431801
984	105909	431702
985	106009	431564
986	106113	431442
987	106213	431304
988	106324	431211
989	106427	431084
990	106537	430989
991	106643	430872
992	106749	430762
993	106859	430661
994	106967	430556
995	107068	430424
996	107176	430317
997	107277	430184
998	107387	430088
999	107501	430004
1000	107614	429920
1001	107724	429823
1002	107830	429709
1003	107932	429579
1004	108040	429472
1005	108144	429351
1006	108248	429230
1007	108357	429131
1008	108457	428994
1009	108570	428905
1010	108677	428797
1011	108786	428694
1012	108883	428545
1013	108986	428422
1014	109088	428291
1015	109190	428162
1016	109290	428028
1017	109390	427888
1018	109492	427760
1019	109599	427653
1020	109697	427508
1021	109807	427412
1022	109916	427310
1023	110022	427197
1024	110132	427097
1025	110240	426992
1026	110346	426882
1027	110457	426788
1028	110579	426736
1029	110755	426892
1030	110911	426970
1031	111021	426872
1032	111163	426897
1033	111304	426917
1034	111423	426855
1035	111538	426775
1036	111766	427127
1037	111922	427202
1038	112052	427181
1039	112185	427167
1040	112299	427082
1041	112403	426962
1042	112517	426877
1043	112631	426792
1044	112745	426707
1045	112857	426614
1046	112972	426533
1047	113076	426409
1048	113186	426311
1049	113297	426216
1050	113414	426139
1051	113553	426149
1052	113665	426056
1053	113797	426037
1054	113973	426185
1055	114089	426105
1056	114190	425973
1057	114294	425850
1058	114453	425929
1059	114567	425846
1060	114668	425710
1061	114785	425635
1062	114899	425549
1063	115008	425445
1064	115110	425316
1065	115218	425204
1066	115333	425123
1067	115433	424985
1068	115550	424908
1069	115655	424788
1070	115769	424705
1071	115879	424602
1072	115990	424505
1073	116102	424413
1074	116207	424290
1075	116314	424179
1076	116424	424080
1077	116539	423996
1078	116655	423916
1079	116765	423815
1080	116869	423691
1081	116981	423598
1082	117093	423503
1083	117224	423480
1084	117330	423362
1085	117440	423261
1086	117547	423150
1087	117660	423057
1088	117776	422978
1089	117889	422888
1090	117992	422760
1091	118109	422685
1092	118215	422570
1093	118331	422488
1094	118435	422367
1095	118542	422253
1096	118658	422172
1097	118766	422063
1098	118873	421951
1099	118984	421855
1100	119095	421755
1101	119188	421594
1102	119299	421496
1103	119408	421389
1104	119521	421300
1105	119630	421196
1106	119743	421102
1107	119856	421011
1108	119959	420884
1109	120069	420783
1110	120181	420687
1111	120282	420557
1112	120419	420547
1113	120524	420431
1114	120641	420351
1115	120759	420277
1116	120876	420201
1117	120989	420109
1118	121095	419993
1119	121201	419877
1120	121316	419791
1121	121422	419677
1122	121535	419585
1123	121651	419503
1124	121759	419394
1125	121879	419325
1126	121983	419203
1127	122104	419139
1128	122223	419067
1129	122349	419018
1130	122466	418940
1131	122574	418832
1132	122683	418727
1133	122798	418640
1134	122910	418546
1135	123015	418426
1136	123122	418313
1137	123225	418186
1138	123341	418104
1139	123468	418060
1140	123580	417962
1141	123683	417839
1142	123798	417752
1143	123899	417620
1144	124009	417518
1145	124111	417385
1146	124215	417265
1147	124332	417185
1148	124421	417013
1149	124539	416937
1150	124641	416807
1151	124741	416672
1152	124857	416587
1153	124958	416455
1154	125056	416313
1155	125172	416230
1156	125283	416131
1157	125429	416149
1158	125536	416037
1159	125642	415921
1160	125751	415813
1161	125855	415690
1162	125970	415605
1163	126085	415519
1164	126198	415424
1165	126312	415335
1166	126424	415238
1167	126534	415138
1168	126633	414998
1169	126744	414898
1170	126846	414771
1171	126958	414673
1172	127070	414575
1173	127170	414442
1174	127281	414342
1175	127392	414242
1176	127506	414152
1177	127617	414052
1178	127734	413972
1179	127847	413880
1180	127952	413760
1181	128062	413658
1182	128168	413541
1183	128271	413414
1184	128377	413298
1185	128495	413221
1186	128597	413095
1187	128709	412996
1188	128818	412889
1189	128916	412749
1190	129025	412643
1191	129134	412538
1192	129238	412413
1193	129346	412306
1194	129459	412212
1195	129573	412120
1196	129685	412025
1197	129795	411921
1198	129908	411828
1199	130018	411726
1200	130130	411628
1201	130241	411526
1202	130354	411435
1203	130461	411322
1204	130568	411208
1205	130677	411103
1206	130788	411001
1207	130904	410917
1208	131009	410799
1209	131111	410672
1210	131219	410561
1211	131318	410422
1212	131442	410364
1213	131558	410279
1214	131674	410197
1215	131801	410143
1216	131934	410114
1217	132065	410076
1218	132182	409992
1219	132298	409907
1220	132414	409824
1221	132528	409730
1222	132638	409628
1223	132757	409553
1224	132873	409468
1225	132988	409378
1226	133108	409304
1227	133223	409216
1228	133344	409148
1229	133472	409097
1230	133596	409039
1231	133717	408967
1232	133829	408868
1233	133954	408810
1234	134072	408732
1235	134197	408673
1236	134320	408606
1237	134429	408501
1238	134564	408471
1239	134674	408369
1240	134787	408273
1241	134910	408206
1242	135037	408154
1243	135165	408104
1244	135284	408027
1245	135396	407927
1246	135519	407863
1247	135641	407793
1248	135764	407726
1249	135871	407614
1250	135995	407552
1251	136103	407440
1252	136215	407342
1253	136332	407256
1254	136433	407126
1255	136550	407041
1256	136654	406919
1257	136763	406810
1258	136877	406719
1259	136994	406634
1260	137102	406524
1261	137217	406432
1262	137321	406312
1263	137434	406213
1264	137548	406122
1265	137654	406005
1266	137763	405895
1267	137879	405808
1268	137990	405707
1269	138087	405565
1270	138196	405457
1271	138309	405359
1272	138419	405253
1273	138532	405157
1274	138647	405067
1275	138759	404969
1276	138872	404872
1277	138977	404752
1278	139090	404657
1279	139205	404565
1280	139309	404442
1281	139415	404326
1282	139532	404240
1283	139635	404116
1284	139749	404022
1285	139861	403922
1286	139963	403793
1287	140074	403693
1288	140181	403578
1289	140294	403482
1290	140405	403381
1291	140519	403286
1292	140631	403186
1293	140738	403072
1294	140851	402976
1295	140957	402861
1296	141071	402764
1297	141177	402649
1298	141290	402552
1299	141406	402464
1300	141509	402338
1301	141624	402247
1302	141726	402120
1303	141840	402027
1304	141955	401934
1305	142064	401826
1306	142177	401730
1307	142283	401614
1308	142390	401500
1309	142505	401409
1310	142621	401320
1311	142734	401222
1312	142873	401199
1313	142999	401137
1314	143123	401072
1315	143238	400981
1316	143364	400921
1317	143489	400855
1318	143608	400775
1319	143763	400794
1320	143914	400802
1321	144074	400835
1322	144232	400862
1323	144377	400855
1324	144503	400793
1325	144621	400708
1326	144738	400622
1327	144864	400560
1328	144999	400521
1329	145119	400441
1330	145227	400329
1331	145342	400236
1332	145451	400127
1333	145555	400003
1334	145658	399879
1335	145764	399762
1336	145878	399666
1337	145996	399580
1338	146110	399485
1339	146221	399381
1340	146324	399255
1341	146433	399146
1342	146543	399039
1343	146650	398925
1344	146759	398814
1345	146864	398694
1346	146975	398589
1347	147095	398509
1348	147193	398370
1349	147307	398276
1350	147422	398183
1351	147536	398086
1352	147642	397967
1353	147757	397875
1354	147870	397777
1355	147988	397692
1356	148105	397603
1357	148220	397510
1358	148319	397372
1359	148436	397284
1360	148549	397185
1361	148661	397086
1362	148774	396987
1363	148882	396875
1364	148997	396780
1365	149108	396676
1366	149209	396545
1367	149324	396452
1368	149440	396361
1369	149546	396243
1370	149656	396136
1371	149761	396016
1372	149873	395914
1373	149990	395827
1374	150096	395708
1375	150200	395584
1376	150312	395483
1377	150420	395371
1378	150535	395278
1379	150643	395166
1380	150756	395067
1381	150867	394962
1382	150984	394875
1383	151101	394785
1384	151214	394686
1385	151315	394555
1386	151432	394468
1387	151531	394331
1388	151647	394239
1389	151741	394092
1390	151850	393981
1391	151963	393881
1392	152075	393780
1393	152177	393652
1394	152287	393546
1395	152396	393437
1396	152521	393369
1397	152633	393265
1398	152735	393138
1399	152848	393040
1400	152959	392933
1401	153071	392831
1402	153181	392726
1403	153234	392471
1404	153341	392357
1405	153451	392250
1406	153565	392154
1407	153677	392051
1408	153783	391935
1409	153896	391835
1410	154014	391748
1411	154124	391642
1412	154236	391540
1413	154338	391412
1414	154452	391314
1415	154557	391197
1416	154671	391099
1417	154780	390990
1418	154891	390884
1419	155007	390792
1420	155110	390669
1421	155216	390551
1422	155332	390460
1423	155445	390361
1424	155563	390272
1425	155673	390166
1426	155779	390050
1427	155891	389947
1428	155999	389835
1429	156112	389734
1430	156223	389629
1431	156330	389515
1432	156435	389397
1433	156539	389273
1434	156650	389171
1435	156764	389074
1436	156873	388963
1437	156988	388868
1438	157104	388776
1439	157218	388678
1440	157327	388569
1441	157439	388468
1442	157549	388360
1443	157670	388280
1444	157785	388184
1445	157899	388086
1446	158012	387987
1447	158117	387868
1448	158212	387723
1449	158322	387617
1450	158415	387469
1451	158531	387374
1452	158644	387275
1453	158757	387175
1454	158867	387067
1455	158978	386964
1456	159090	386861
1457	159192	386735
1458	159304	386632
1459	159422	386544
1460	159536	386446
1461	159648	386344
1462	159761	386245
1463	159873	386142
1464	159990	386052
1465	160094	385929
1466	160190	385790
1467	160298	385678
1468	160402	385554
1469	160519	385466
1470	160637	385376
1471	160750	385276
1472	160857	385163
1473	160971	385064
1474	161078	384950
1475	161191	384849
1476	161297	384733
1477	161408	384628
1478	161523	384534
1479	161634	384428
1480	161749	384332
1481	161863	384234
1482	161976	384134
1483	162087	384028
1484	162196	383919
1485	162307	383814
1486	162419	383712
1487	162532	383612
1488	162632	383481
1489	162735	383355
1490	162847	383253
1491	162954	383140
1492	163063	383030
1493	163173	382921
1494	163286	382822
1495	163392	382705
1496	163501	382594
1497	163607	382478
1498	163716	382368
1499	163825	382260
1500	163936	382154
1501	164051	382059
1502	164157	381942
1503	164263	381826
1504	164371	381712
1505	164487	381620
1506	164604	381528
1507	164715	381423
1508	164822	381307
1509	164937	381214
1510	165051	381115
1511	165163	381012
1512	165276	380911
1513	165388	380808
1514	165493	380689
1515	165598	380570
1516	165710	380468
1517	165824	380368
1518	165931	380256
1519	166047	380160
1520	166159	380059
1521	166271	379955
1522	166380	379846
1523	166491	379739
1524	166606	379643
1525	166721	379547
1526	166822	379419
1527	166932	379312
1528	167040	379199
1529	167153	379099
1530	167258	378981
1531	167371	378881
1532	167477	378764
1533	167586	378652
1534	167692	378536
1535	167801	378427
1536	167899	378293
1537	168009	378185
1538	168126	378092
1539	168235	377984
1540	168341	377866
1541	168455	377768
1542	168562	377654
1543	168674	377550
1544	168782	377438
1545	168878	377300
1546	168992	377202
1547	169108	377106
1548	169214	376990
1549	169328	376891
1550	169440	376788
1551	169540	376660
1552	169653	376558
1553	169768	376463
1554	169883	376366
1555	169991	376252
1556	170103	376151
1557	170214	376044
1558	170324	375937
1559	170435	375833
1560	170535	375702
1561	170645	375595
1562	170755	375487
1563	170864	375377
1564	170983	375289
1565	171097	375191
1566	171211	375091
1567	171326	374996
1568	171435	374885
1569	171544	374775
1570	171663	374686
1571	171778	374589
1572	171893	374495
1573	172018	374418
1574	172172	374407
1575	172292	374320
1576	172412	374234
1577	172528	374140
1578	172640	374037
1579	172760	373950
1580	172881	373865
1581	173001	373779
1582	173120	373690
1583	173236	373595
1584	173351	373499
1585	173468	373404
1586	173580	373302
1587	173691	373196
1588	173804	373094
1589	173915	372988
1590	174030	372892
1591	174139	372781
1592	174254	372683
1593	174370	372587
1594	174473	372466
1595	174583	372357
1596	174691	372245
1597	174805	372145
1598	174906	372017
1599	175019	371915
1600	175123	371796
1601	175243	371707
1602	175365	371625
1603	175476	371519
1604	175602	371446
1605	175718	371349
1606	175831	371248
1607	175939	371135
1608	176046	371022
1609	176155	370911
1610	176263	370799
1611	176375	370694
1612	176484	370584
1613	176588	370464
1614	176694	370346
1615	176810	370251
1616	176926	370156
1617	177035	370046
1618	177140	369927
1619	177256	369831
1620	177369	369729
1621	177471	369604
1622	177585	369505
1623	177698	369402
1624	177814	369307
1625	177928	369206
1626	178031	369085
1627	178140	368973
1628	178256	368877
1629	178367	368772
1630	178480	368670
1631	178597	368576
1632	178693	368439
1633	178809	368342
1634	178912	368220
1635	179021	368109
1636	179126	367991
1637	179235	367880
1638	179348	367779
1639	179450	367654
1640	179562	367549
1641	179676	367450
1642	179785	367339
1643	179898	367238
1644	180011	367135
1645	180124	367034
1646	180237	366931
1647	180349	366826
1648	180454	366708
1649	180568	366609
1650	180679	366501
1651	180795	366407
1652	180912	366312
1653	181025	366209
1654	181126	366083
1655	181229	365961
1656	181343	365860
1657	181458	365762
1658	181565	365648
1659	181678	365546
1660	181792	365445
1661	181909	365351
1662	182018	365240
1663	182121	365119
